Learner Category,Learner Type,20th Percentile 13/14,40th Percentile 13/14,60th Percentile 13/14,80th Percentile 13/14,20th Percentile 14/15,40th Percentile 14/15,60th Percentile 14/15,80th Percentile 14/15,20th Percentile 15/16,40th Percentile 15/16,60th Percentile 15/16,80th Percentile 15/16
"Intermediate Apprenticeships: Construction, Planning and the Built Environment",All (excl. benefit learners),85,88,91,91,83,90,91,91,74,85,89,89
Intermediate Apprenticeships: Education and Training,All (excl. benefit learners),87,93,95,100,88,89,94,100,85,92,93,100
Intermediate Apprenticeships: Engineering and Manufacturing Technologies,All (excl. benefit learners),90,93,95,98,91,93,95,97,88,92,94,96
"Intermediate Apprenticeships: Health, Public Services and Care",All (excl. benefit learners),91,92,93,95,90,92,93,94,89,92,92,94
Intermediate Apprenticeships: Information and Communication Technology,All (excl. benefit learners),93,94,95,98,90,93,95,96,90,92,95,97
"Intermediate Apprenticeships: Leisure, Travel and Tourism",All (excl. benefit learners),87,92,92,94,84,88,93,93,84,89,91,93
Intermediate Apprenticeships: Retail and Commercial Enterprise,All (excl. benefit learners),87,91,92,94,87,91,92,95,85,88,90,92
"Full Level 2: Agriculture, Horticulture and Animal Care",All (excl. benefit learners),78,82,86,89,75,81,84,87,78,80,84,87
"Full Level 2: Arts, Media and Publishing",All (excl. benefit learners),68,77,79,88,66,79,81,85,64,73,81,83
"Full Level 2: Business, Administration and Law",All (excl. benefit learners),82,86,88,92,85,87,90,93,84,88,90,93
"Full Level 2: Construction, Planning and the Built Environment",All (excl. benefit learners),78,82,86,90,74,78,86,90,59,69,76,83
Full Level 2: Education and Training,All (excl. benefit learners),77,83,87,91,73,81,86,90,71,80,84,89
Full Level 2: Engineering and Manufacturing Technologies,All (excl. benefit learners),75,81,87,91,76,82,88,90,70,80,85,89
"Full Level 2: Health, Public Services and Care",All (excl. benefit learners),90,92,93,94,88,91,92,94,88,90,92,93
Full Level 2: Information and Communication Technology,All (excl. benefit learners),74,74,81,87,67,73,80,86,58,73,82,88
"Full Level 2: Languages, Literature and Culture",All (excl. benefit learners),81,84,88,91,81,84,87,91,81,84,87,91
"Full Level 2: Leisure, Travel and Tourism",All (excl. benefit learners),80,86,88,92,81,84,90,93,83,88,89,90
Full Level 2: Preparation for Life and Work,All (excl. benefit learners),87,89,92,94,84,89,92,93,87,91,94,96
