UKPRN,Provider Name,Provider Type,Completions 13/14,Bottom Quintile 13/14,Second Quintile 13/14,Third Quintile 13/14,Fourth Quintile 13/14,Top Quintile 13/14,Completions 14/15,Bottom Quintile 14/15,Second Quintile 14/15,Third Quintile 14/15,Fourth Quintile 14/15,Top Quintile 14/15,Completions 15/16,Bottom Quintile 15/16,Second Quintile 15/16,Third Quintile 15/16,Fourth Quintile 15/16,Top Quintile 15/16
10000285,ANDREW COLLINGE TRAINING LIMITED,Private Sector Public Funded,110,89,0,0,11,0,80,69,31,0,0,0,60,33,0,67,0,0
10022210,ANNE CLARKE ASSOCIATES LIMITED,Private Sector Public Funded,2300,13,6,0,1,80,2140,20,2,6,0,72,1400,18,2,0,42,38
10000311,APCYMRU LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10006901,APM LEARNING AND EDUCATION ALLIANCE LIMITED,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,.,.,.,.,.,.
10030249,APPRENTICE FUNDING ASSISTANT LIMITED,Private Sector Public Funded,70,62,38,0,0,0,200,64,22,0,0,13,160,58,0,0,42,0
10032404,APPRENTICESHIPS & TRAINING SERVICES CONSORTIUM LIMITED,Private Sector Public Funded,160,65,8,0,0,27,270,16,78,6,0,0,350,16,0,77,5,3
10000848,APPRIS CHARITY LIMITED,Private Sector Public Funded,70,0,83,0,17,0,100,0,12,78,0,11,70,76,0,0,0,24
10000330,AQUINAS COLLEGE,Other,70,17,20,0,64,0,50,0,0,0,0,100,100,51,0,22,27,0
10000348,ARCHWAY ACADEMY,Other,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000350,ARDEN COLLEGE,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x
10024163,AREA 51 EDUCATION LTD,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,.,.,.,.,.,.
10000385,"ARTS UNIVERSITY BOURNEMOUTH, THE",Other Public Funded,80,24,0,60,0,15,40,0,0,0,0,100,40,0,0,0,0,100
10000409,ASHTON SIXTH FORM COLLEGE,Other,180,18,47,0,0,35,220,0,5,0,42,53,160,0,9,20,0,71
10009956,"ASHTON, WIGAN & DISTRICT YOUNG MEN'S CHRISTIAN ASSOCIATION (ALSO KNOWN AS ASHTON,WIGAN & DISTRICT YMCA)",Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000415,ASKHAM BRYAN COLLEGE,Special Colleges,800,2,39,14,34,9,690,13,51,5,17,13,720,4,87,0,9,0
10019293,ASPHALEIA LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,.,.,.
10000421,ASPIRATION TRAINING LIMITED,Private Sector Public Funded,1020,35,43,19,0,3,1710,4,20,33,9,34,2670,0,4,1,14,80
10031241,ASPIRE ACHIEVE ADVANCE LIMITED,Private Sector Public Funded,40,100,0,0,0,0,480,59,0,0,21,20,1360,0,0,43,41,15
10006942,ASPIRE TRAINING TEAM LIMITED,Private Sector Public Funded,100,50,0,0,0,50,120,84,0,0,0,16,110,13,0,30,9,48
10001182,ASPIRE-I LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10003248,ASPIRE-IGEN LTD,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,10,100,0,0,0,0
10000427,ASSET TRAINING & CONSULTANCY LIMITED,Private Sector Public Funded,1610,28,17,11,24,20,1840,45,21,1,2,31,1800,30,45,17,6,2
10037337,ASSOCIATED TRAINING SOLUTIONS LIMITED,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10020307,ASTUTE MINDS LTD,Private Sector Public Funded,10,100,0,0,0,0,200,88,0,0,0,12,420,0,38,4,58,0
10000476,ATG TRAINING,Private Sector Public Funded,440,27,18,0,11,45,580,8,40,6,0,46,610,0,15,2,44,39
10000452,AURELIA TRAINING LIMITED,Private Sector Public Funded,290,0,12,0,0,88,170,48,0,0,0,52,180,0,9,0,44,47
10022513,AVANT PARTNERSHIP LIMITED,Private Sector Public Funded,520,36,0,0,24,40,390,48,14,15,18,5,330,16,28,0,13,43
10018436,AWAAZ ENTERPRISES LTD,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10008081,AWE PLC,Private Sector Public Funded,20,0,0,100,0,0,80,27,0,0,0,73,x,x,x,x,x,x
10000470,AXIA SOLUTIONS LIMITED,Private Sector Public Funded,380,3,35,0,0,62,210,0,0,0,50,50,340,3,0,50,8,39
10000473,AYLESBURY COLLEGE,General FE College incl Tertiary,1660,19,9,8,20,45,1700,30,4,18,16,31,1170,44,5,17,6,28
10005781,AZURE CHARITABLE ENTERPRISES,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,.,.,.
10000486,B L TRAINING LIMITED,Private Sector Public Funded,320,55,23,12,0,10,240,0,32,58,0,10,260,0,5,89,6,0
10029186,B2B ENGAGE LIMITED,Private Sector Public Funded,740,41,0,24,0,35,800,47,3,2,21,27,400,34,13,29,16,7
10037348,BABCOCK SKILLS DEVELOPMENT AND TRAINING LIMITED,Private Sector Public Funded,290,0,0,0,93,7,150,0,0,0,41,59,250,0,0,42,43,16
10003161,BABCOCK TRAINING LIMITED,Private Sector Public Funded,9760,8,3,30,51,8,9810,7,0,14,69,10,9480,4,2,0,83,10
10000494,BABINGTON BUSINESS COLLEGE LIMITED,Private Sector Public Funded,1670,4,0,65,6,25,1320,9,3,30,43,15,2160,1,23,4,61,11
10000501,BAE SYSTEMS PLC,Private Sector Public Funded,160,0,0,0,0,100,210,0,0,0,10,90,260,4,0,0,0,96
10013530,BALDWIN TRAINING LIMITED,Private Sector Public Funded,240,69,18,4,0,9,.,.,.,.,.,.,.,.,.,.,.,.
