UKPRN,Provider Name,Learner Category,Completions 13/14 BL,Sustained Positive Destination Rate 13/14 BL,Quintile 13/14 BL,Completions 13/14 All,Sustained Positive Destination Rate 13/14 All,Quintile 13/14 All,Completions 14/15 BL,Sustained Positive Destination Rate 14/15 BL,Quintile 14/15 BL,Completions 14/15 All,Sustained Positive Destination Rate 14/15 All,Quintile 14/15 All,Completions 15/16 BL,Sustained Positive Destination Rate 15/16 BL,Quintile 15/16 BL,Completions 15/16 All,Sustained Positive Destination Rate 15/16 All,Quintile 15/16 All
10032393,ENLIGHTENMENT PARTNERSHIP LIMITED,"Intermediate Apprenticeships: Business, Administration and Law",.,.,.,20,95,top quintile,.,.,.,20,87,bottom quintile,.,.,.,.,.,.
10032393,ENLIGHTENMENT PARTNERSHIP LIMITED,"Intermediate Apprenticeships: Health, Public Services and Care",.,.,.,10,91,second quintile,.,.,.,x,x,x,.,.,.,.,.,.
10032393,ENLIGHTENMENT PARTNERSHIP LIMITED,Intermediate Apprenticeships: Retail and Commercial Enterprise,.,.,.,10,90,second quintile,.,.,.,10,92,third quintile,.,.,.,.,.,.
10032393,ENLIGHTENMENT PARTNERSHIP LIMITED,English & Maths,.,.,.,10,92,top quintile,.,.,.,.,.,.,.,.,.,.,.,.
10032393,ENLIGHTENMENT PARTNERSHIP LIMITED,Other provision below Full Level 2,30,36,bottom quintile,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10002297,EPPING FOREST COLLEGE,LLDD learner,30,62,top quintile,180,79,top quintile,30,44,second quintile,220,75,fourth quintile,x,x,x,160,71,third quintile
10002297,EPPING FOREST COLLEGE,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,10,69,bottom quintile,.,.,.,10,93,second quintile,.,.,.,x,x,x
10002297,EPPING FOREST COLLEGE,Advanced and Higher Apprenticeships: Information and Communication Technology,.,.,.,x,x,x,x,x,x,80,92,third quintile,x,x,x,30,90,third quintile
10002297,EPPING FOREST COLLEGE,"Full Level 3+: Arts, Media and Publishing",.,.,.,10,64,bottom quintile,.,.,.,x,x,x,x,x,x,20,68,bottom quintile
10002297,EPPING FOREST COLLEGE,"Full Level 3+: Business, Administration and Law",x,x,x,60,87,second quintile,.,.,.,40,88,third quintile,x,x,x,20,79,second quintile
10002297,EPPING FOREST COLLEGE,"Full Level 3+: Construction, Planning and the Built Environment",.,.,.,.,.,.,.,.,.,x,x,x,.,.,.,10,40,bottom quintile
10002297,EPPING FOREST COLLEGE,"Full Level 3+: Health, Public Services and Care",x,x,x,30,88,third quintile,.,.,.,x,x,x,.,.,.,10,92,top quintile
10002297,EPPING FOREST COLLEGE,"Full Level 3+: Leisure, Travel and Tourism",.,.,.,20,71,bottom quintile,x,x,x,10,90,top quintile,.,.,.,10,85,fourth quintile
10002297,EPPING FOREST COLLEGE,Full Level 3+: Retail and Commercial Enterprise,x,x,x,10,55,bottom quintile,x,x,x,x,x,x,.,.,.,x,x,x
10002297,EPPING FOREST COLLEGE,Access to HE,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,10,91,third quintile
10002297,EPPING FOREST COLLEGE,Other Level 3,x,x,x,20,87,second quintile,x,x,x,x,x,x,.,.,.,.,.,.
10002297,EPPING FOREST COLLEGE,"Intermediate Apprenticeships: Business, Administration and Law",x,x,x,20,87,bottom quintile,x,x,x,20,87,bottom quintile,.,.,.,10,100,top quintile
10002297,EPPING FOREST COLLEGE,Intermediate Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,20,77,bottom quintile,.,.,.,.,.,.,.,.,.,x,x,x
10002297,EPPING FOREST COLLEGE,Intermediate Apprenticeships: Retail and Commercial Enterprise,.,.,.,.,.,.,.,.,.,x,x,x,.,.,.,10,75,bottom quintile
10002297,EPPING FOREST COLLEGE,"Full Level 2: Business, Administration and Law",20,63,fourth quintile,80,95,top quintile,60,73,top quintile,40,89,third quintile,10,55,third quintile,40,82,bottom quintile
10002297,EPPING FOREST COLLEGE,"Full Level 2: Construction, Planning and the Built Environment",.,.,.,x,x,x,x,x,x,x,x,x,x,x,x,10,75,third quintile
10002297,EPPING FOREST COLLEGE,Full Level 2: Education and Training,x,x,x,20,94,top quintile,x,x,x,x,x,x,x,x,x,10,82,third quintile
10002297,EPPING FOREST COLLEGE,"Full Level 2: Health, Public Services and Care",x,x,x,30,74,bottom quintile,x,x,x,170,96,top quintile,.,.,.,30,93,top quintile
10002297,EPPING FOREST COLLEGE,"Full Level 2: Languages, Literature and Culture",.,.,.,10,86,third quintile,x,x,x,20,100,top quintile,x,x,x,x,x,x
10002297,EPPING FOREST COLLEGE,"Full Level 2: Leisure, Travel and Tourism",x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,10,40,bottom quintile
10002297,EPPING FOREST COLLEGE,Full Level 2: Preparation for Life and Work,.,.,.,.,.,.,.,.,.,30,93,fourth quintile,.,.,.,.,.,.
10002297,EPPING FOREST COLLEGE,Full Level 2: Science and Mathematics,x,x,x,40,87,second quintile,x,x,x,30,90,fourth quintile,x,x,x,40,79,bottom quintile
10002297,EPPING FOREST COLLEGE,English & Maths,x,x,x,60,75,second quintile,x,x,x,60,87,top quintile,.,.,.,20,86,top quintile
10002297,EPPING FOREST COLLEGE,English for Speakers of Other Languages (ESOL),.,.,.,.,.,.,x,x,x,40,58,bottom quintile,.,.,.,.,.,.
10002297,EPPING FOREST COLLEGE,Other provision below Full Level 2,60,57,top quintile,60,81,fourth quintile,20,54,fourth quintile,70,87,top quintile,30,71,top quintile,50,71,third quintile
10044028,EQL SOLUTIONS LIMITED,LLDD learner,210,45,third quintile,80,61,second quintile,270,32,bottom quintile,140,50,bottom quintile,220,36,bottom quintile,90,42,bottom quintile
10044028,EQL SOLUTIONS LIMITED,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,60,95,fourth quintile,.,.,.,110,92,second quintile,.,.,.,130,92,third quintile
10044028,EQL SOLUTIONS LIMITED,Advanced and Higher Apprenticeships: Education and Training,x,x,x,90,94,second quintile,.,.,.,90,97,fourth quintile,.,.,.,110,91,second quintile
10044028,EQL SOLUTIONS LIMITED,Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,.,.,.,.,.,.,x,x,x,10,77,second quintile,30,84,bottom quintile
10044028,EQL SOLUTIONS LIMITED,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,130,94,fourth quintile,.,.,.,70,93,third quintile,.,.,.,100,86,bottom quintile
10044028,EQL SOLUTIONS LIMITED,Advanced and Higher Apprenticeships: Information and Communication Technology,.,.,.,20,93,fourth quintile,.,.,.,30,76,bottom quintile,.,.,.,20,95,top quintile
10044028,EQL SOLUTIONS LIMITED,Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,83,bottom quintile
10044028,EQL SOLUTIONS LIMITED,"Full Level 3+: Leisure, Travel and Tourism",.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,30,80,third quintile
10044028,EQL SOLUTIONS LIMITED,Full Level 3+: Retail and Commercial Enterprise,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,70,70,third quintile
10044028,EQL SOLUTIONS LIMITED,"Intermediate Apprenticeships: Business, Administration and Law",x,x,x,380,94,fourth quintile,x,x,x,130,93,third quintile,x,x,x,100,93,fourth quintile
10044028,EQL SOLUTIONS LIMITED,"Intermediate Apprenticeships: Construction, Planning and the Built Environment",.,.,.,40,100,top quintile,.,.,.,x,x,x,x,x,x,x,x,x
10044028,EQL SOLUTIONS LIMITED,Intermediate Apprenticeships: Education and Training,.,.,.,.,.,.,x,x,x,x,x,x,.,.,.,20,91,second quintile
10044028,EQL SOLUTIONS LIMITED,Intermediate Apprenticeships: Engineering and Manufacturing Technologies,x,x,x,300,86,bottom quintile,20,59,bottom quintile,130,90,bottom quintile,30,71,second quintile,250,82,bottom quintile
10044028,EQL SOLUTIONS LIMITED,"Intermediate Apprenticeships: Health, Public Services and Care",x,x,x,80,95,top quintile,x,x,x,80,95,top quintile,.,.,.,110,91,second quintile
10044028,EQL SOLUTIONS LIMITED,Intermediate Apprenticeships: Retail and Commercial Enterprise,.,.,.,20,94,fourth quintile,.,.,.,20,94,fourth quintile,.,.,.,30,93,top quintile
10044028,EQL SOLUTIONS LIMITED,English & Maths,.,.,.,x,x,x,x,x,x,x,x,x,140,62,fourth quintile,10,73,second quintile
10044028,EQL SOLUTIONS LIMITED,Other provision below Full Level 2,530,53,fourth quintile,40,56,bottom quintile,500,52,third quintile,60,63,bottom quintile,280,50,third quintile,30,52,bottom quintile
10034309,ESG (SKILLS) LIMITED,LLDD learner,1280,36,bottom quintile,490,58,second quintile,690,42,second quintile,580,65,third quintile,470,41,second quintile,500,70,third quintile
10034309,ESG (SKILLS) LIMITED,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,470,94,third quintile,x,x,x,360,95,fourth quintile,x,x,x,300,94,fourth quintile
10034309,ESG (SKILLS) LIMITED,Advanced and Higher Apprenticeships: Education and Training,.,.,.,70,95,third quintile,.,.,.,50,89,bottom quintile,x,x,x,90,98,fourth quintile
10034309,ESG (SKILLS) LIMITED,"Advanced and Higher Apprenticeships: Health, Public Services and Care",x,x,x,1020,93,third quintile,x,x,x,890,91,second quintile,10,77,second quintile,830,91,third quintile
10034309,ESG (SKILLS) LIMITED,"Advanced and Higher Apprenticeships: Leisure, Travel and Tourism",x,x,x,x,x,x,.,.,.,10,100,top quintile,.,.,.,20,83,second quintile
10034309,ESG (SKILLS) LIMITED,Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,.,.,.,450,84,bottom quintile,x,x,x,340,90,second quintile,x,x,x,460,83,bottom quintile
10034309,ESG (SKILLS) LIMITED,"Full Level 3+: Health, Public Services and Care",.,.,.,10,79,bottom quintile,.,.,.,x,x,x,.,.,.,x,x,x
10034309,ESG (SKILLS) LIMITED,Full Level 3+: Retail and Commercial Enterprise,.,.,.,20,88,top quintile,.,.,.,10,91,top quintile,.,.,.,x,x,x
10034309,ESG (SKILLS) LIMITED,"Intermediate Apprenticeships: Business, Administration and Law",x,x,x,820,93,third quintile,10,83,second quintile,1000,93,third quintile,20,100,top quintile,770,93,fourth quintile
10034309,ESG (SKILLS) LIMITED,Intermediate Apprenticeships: Education and Training,x,x,x,30,93,third quintile,x,x,x,10,100,fourth quintile,.,.,.,30,92,third quintile
10034309,ESG (SKILLS) LIMITED,"Intermediate Apprenticeships: Health, Public Services and Care",x,x,x,790,93,third quintile,20,100,top quintile,910,92,second quintile,10,83,third quintile,840,92,third quintile
10034309,ESG (SKILLS) LIMITED,Intermediate Apprenticeships: Information and Communication Technology,.,.,.,x,x,x,.,.,.,x,x,x,x,x,x,10,93,third quintile
10034309,ESG (SKILLS) LIMITED,"Intermediate Apprenticeships: Leisure, Travel and Tourism",.,.,.,x,x,x,.,.,.,10,100,top quintile,.,.,.,x,x,x
10034309,ESG (SKILLS) LIMITED,Intermediate Apprenticeships: Retail and Commercial Enterprise,x,x,x,880,89,second quintile,10,50,bottom quintile,880,88,second quintile,10,91,fourth quintile,820,86,second quintile
10034309,ESG (SKILLS) LIMITED,Full Level 2: Information and Communication Technology,20,54,bottom quintile,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10034309,ESG (SKILLS) LIMITED,"Full Level 2: Leisure, Travel and Tourism",.,.,.,.,.,.,40,21,bottom quintile,x,x,x,190,34,bottom quintile,10,23,bottom quintile
10034309,ESG (SKILLS) LIMITED,Full Level 2: Preparation for Life and Work,.,.,.,.,.,.,200,60,third quintile,110,55,bottom quintile,.,.,.,.,.,.
10034309,ESG (SKILLS) LIMITED,Full Level 2: Retail and Commercial Enterprise,x,x,x,10,92,top quintile,x,x,x,20,76,third quintile,x,x,x,60,74,third quintile
10034309,ESG (SKILLS) LIMITED,English & Maths,70,56,fourth quintile,50,81,fourth quintile,60,38,bottom quintile,20,69,bottom quintile,.,.,.,.,.,.
10034309,ESG (SKILLS) LIMITED,Other provision below Full Level 2,3570,47,second quintile,230,42,bottom quintile,1070,51,second quintile,140,37,bottom quintile,750,45,bottom quintile,60,40,bottom quintile
10002327,ESSEX COUNTY COUNCIL,LLDD learner,220,53,top quintile,1180,70,fourth quintile,80,70,top quintile,770,65,third quintile,100,45,third quintile,700,66,second quintile
10002327,ESSEX COUNTY COUNCIL,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,10,92,second quintile,.,.,.,x,x,x,.,.,.,10,73,bottom quintile
10002327,ESSEX COUNTY COUNCIL,Advanced and Higher Apprenticeships: Education and Training,.,.,.,30,81,bottom quintile,.,.,.,.,.,.,.,.,.,x,x,x
10002327,ESSEX COUNTY COUNCIL,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,20,89,bottom quintile,.,.,.,x,x,x,.,.,.,30,96,top quintile
10002327,ESSEX COUNTY COUNCIL,Full Level 3+: Education and Training,.,.,.,x,x,x,.,.,.,20,78,bottom quintile,.,.,.,20,87,third quintile
10002327,ESSEX COUNTY COUNCIL,"Full Level 3+: Health, Public Services and Care",x,x,x,40,78,bottom quintile,x,x,x,40,84,second quintile,x,x,x,30,79,second quintile
10002327,ESSEX COUNTY COUNCIL,Full Level 3+: Retail and Commercial Enterprise,x,x,x,40,70,second quintile,x,x,x,50,68,second quintile,.,.,.,30,80,top quintile
10002327,ESSEX COUNTY COUNCIL,Access to HE,x,x,x,50,89,second quintile,x,x,x,20,93,fourth quintile,x,x,x,x,x,x
10002327,ESSEX COUNTY COUNCIL,Other Level 3,x,x,x,30,73,bottom quintile,.,.,.,.,.,.,.,.,.,.,.,.
10002327,ESSEX COUNTY COUNCIL,"Intermediate Apprenticeships: Business, Administration and Law",x,x,x,20,94,fourth quintile,x,x,x,10,100,top quintile,x,x,x,10,90,second quintile
10002327,ESSEX COUNTY COUNCIL,"Intermediate Apprenticeships: Health, Public Services and Care",x,x,x,30,93,third quintile,x,x,x,10,100,top quintile,x,x,x,20,88,bottom quintile
10002327,ESSEX COUNTY COUNCIL,"Full Level 2: Arts, Media and Publishing",x,x,x,20,81,fourth quintile,.,.,.,.,.,.,.,.,.,x,x,x
10002327,ESSEX COUNTY COUNCIL,"Full Level 2: Business, Administration and Law",x,x,x,20,75,bottom quintile,x,x,x,x,x,x,x,x,x,60,95,top quintile
10002327,ESSEX COUNTY COUNCIL,Full Level 2: Education and Training,x,x,x,x,x,x,x,x,x,20,94,top quintile,.,.,.,x,x,x
10002327,ESSEX COUNTY COUNCIL,"Full Level 2: Health, Public Services and Care",x,x,x,10,83,bottom quintile,x,x,x,x,x,x,x,x,x,x,x,x
10002327,ESSEX COUNTY COUNCIL,Full Level 2: Information and Communication Technology,20,63,second quintile,70,78,third quintile,20,71,top quintile,70,69,second quintile,20,63,top quintile,70,78,third quintile
10002327,ESSEX COUNTY COUNCIL,"Full Level 2: Languages, Literature and Culture",x,x,x,150,89,fourth quintile,x,x,x,90,79,bottom quintile,x,x,x,110,84,second quintile
10002327,ESSEX COUNTY COUNCIL,Full Level 2: Retail and Commercial Enterprise,x,x,x,100,75,second quintile,x,x,x,40,80,fourth quintile,x,x,x,50,59,bottom quintile
10002327,ESSEX COUNTY COUNCIL,Full Level 2: Science and Mathematics,10,86,fourth quintile,190,86,second quintile,x,x,x,210,83,bottom quintile,x,x,x,220,83,bottom quintile
10002327,ESSEX COUNTY COUNCIL,Traineeships,.,.,.,.,.,.,10,67,third quintile,40,61,second quintile,10,55,third quintile,10,25,bottom quintile
10002327,ESSEX COUNTY COUNCIL,English & Maths,120,58,fourth quintile,1080,82,fourth quintile,30,70,top quintile,710,81,fourth quintile,30,70,top quintile,460,79,fourth quintile
10002327,ESSEX COUNTY COUNCIL,English for Speakers of Other Languages (ESOL),50,68,top quintile,550,69,third quintile,20,88,top quintile,380,75,top quintile,x,x,x,20,88,top quintile
10002327,ESSEX COUNTY COUNCIL,Other provision below Full Level 2,300,56,top quintile,600,70,second quintile,80,58,top quintile,170,66,bottom quintile,130,59,top quintile,450,76,third quintile
10002078,E-TRAINING LIMITED,LLDD learner,20,67,top quintile,60,73,fourth quintile,x,x,x,20,100,top quintile,x,x,x,40,77,top quintile
10002078,E-TRAINING LIMITED,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,30,91,bottom quintile,.,.,.,40,90,bottom quintile,.,.,.,30,94,top quintile
10002078,E-TRAINING LIMITED,"Full Level 3+: Health, Public Services and Care",.,.,.,20,93,top quintile,x,x,x,30,92,fourth quintile,.,.,.,30,90,fourth quintile
10002078,E-TRAINING LIMITED,"Intermediate Apprenticeships: Business, Administration and Law",.,.,.,x,x,x,x,x,x,x,x,x,.,.,.,10,83,bottom quintile
10002078,E-TRAINING LIMITED,"Intermediate Apprenticeships: Health, Public Services and Care",.,.,.,40,94,fourth quintile,.,.,.,20,100,top quintile,.,.,.,10,90,second quintile
10002078,E-TRAINING LIMITED,"Full Level 2: Health, Public Services and Care",x,x,x,60,96,top quintile,x,x,x,70,85,bottom quintile,x,x,x,70,89,second quintile
10002078,E-TRAINING LIMITED,Full Level 2: Retail and Commercial Enterprise,x,x,x,10,30,bottom quintile,.,.,.,.,.,.,.,.,.,.,.,.
10002078,E-TRAINING LIMITED,Other provision below Full Level 2,10,80,top quintile,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10019037,"EVENTS STEWARDING, TRAINING AND CONSULTANCY LTD",LLDD learner,x,x,x,10,62,second quintile,.,.,.,.,.,.,.,.,.,.,.,.
10019037,"EVENTS STEWARDING, TRAINING AND CONSULTANCY LTD","Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,10,91,bottom quintile,.,.,.,.,.,.,.,.,.,.,.,.
10019037,"EVENTS STEWARDING, TRAINING AND CONSULTANCY LTD",Advanced and Higher Apprenticeships: Education and Training,.,.,.,10,100,top quintile,.,.,.,.,.,.,.,.,.,.,.,.
10019037,"EVENTS STEWARDING, TRAINING AND CONSULTANCY LTD","Advanced and Higher Apprenticeships: Health, Public Services and Care",x,x,x,10,77,bottom quintile,.,.,.,.,.,.,.,.,.,.,.,.
10019037,"EVENTS STEWARDING, TRAINING AND CONSULTANCY LTD","Intermediate Apprenticeships: Business, Administration and Law",.,.,.,40,95,top quintile,.,.,.,.,.,.,.,.,.,.,.,.
10019037,"EVENTS STEWARDING, TRAINING AND CONSULTANCY LTD",Full Level 2: Preparation for Life and Work,20,48,bottom quintile,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10002368,EXEMPLAS HOLDINGS LIMITED,LLDD learner,x,x,x,10,50,bottom quintile,x,x,x,20,94,top quintile,x,x,x,x,x,x
10002368,EXEMPLAS HOLDINGS LIMITED,"Advanced and Higher Apprenticeships: Business, Administration and Law",x,x,x,80,94,third quintile,x,x,x,40,97,top quintile,.,.,.,10,92,second quintile
10002368,EXEMPLAS HOLDINGS LIMITED,Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,10,83,bottom quintile,.,.,.,10,85,bottom quintile,.,.,.,x,x,x
10002368,EXEMPLAS HOLDINGS LIMITED,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,30,96,top quintile,.,.,.,10,90,bottom quintile,.,.,.,.,.,.
10002368,EXEMPLAS HOLDINGS LIMITED,Advanced and Higher Apprenticeships: Information and Communication Technology,.,.,.,10,80,bottom quintile,.,.,.,20,95,top quintile,.,.,.,10,100,top quintile
10002368,EXEMPLAS HOLDINGS LIMITED,Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,.,.,.,10,100,top quintile,.,.,.,20,85,bottom quintile,.,.,.,10,91,third quintile
10002368,EXEMPLAS HOLDINGS LIMITED,"Intermediate Apprenticeships: Business, Administration and Law",.,.,.,40,95,top quintile,x,x,x,60,92,second quintile,x,x,x,40,86,bottom quintile
10002368,EXEMPLAS HOLDINGS LIMITED,Intermediate Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,x,x,x,x,x,x,20,63,bottom quintile,.,.,.,x,x,x
10002368,EXEMPLAS HOLDINGS LIMITED,"Intermediate Apprenticeships: Health, Public Services and Care",.,.,.,20,86,bottom quintile,.,.,.,10,79,bottom quintile,x,x,x,x,x,x
10002368,EXEMPLAS HOLDINGS LIMITED,Intermediate Apprenticeships: Retail and Commercial Enterprise,.,.,.,100,87,second quintile,.,.,.,90,85,bottom quintile,x,x,x,40,95,top quintile
10002368,EXEMPLAS HOLDINGS LIMITED,Other provision below Full Level 2,20,93,top quintile,x,x,x,x,x,x,x,x,x,.,.,.,x,x,x
10002370,EXETER COLLEGE,LLDD learner,160,64,top quintile,450,71,fourth quintile,60,75,top quintile,380,77,top quintile,20,73,top quintile,300,78,top quintile
10002370,EXETER COLLEGE,"Advanced and Higher Apprenticeships: Business, Administration and Law",x,x,x,50,92,second quintile,.,.,.,70,97,top quintile,.,.,.,30,96,top quintile
10002370,EXETER COLLEGE,"Advanced and Higher Apprenticeships: Construction, Planning and the Built Environment",.,.,.,x,x,x,.,.,.,20,100,top quintile,.,.,.,x,x,x
10002370,EXETER COLLEGE,Advanced and Higher Apprenticeships: Education and Training,.,.,.,x,x,x,.,.,.,20,88,bottom quintile,.,.,.,x,x,x
10002370,EXETER COLLEGE,Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,50,90,bottom quintile,.,.,.,40,100,top quintile,x,x,x,40,93,fourth quintile
10002370,EXETER COLLEGE,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,20,94,fourth quintile,.,.,.,20,95,top quintile,.,.,.,20,94,top quintile
10002370,EXETER COLLEGE,Advanced and Higher Apprenticeships: Information and Communication Technology,.,.,.,x,x,x,.,.,.,x,x,x,.,.,.,10,100,top quintile
10002370,EXETER COLLEGE,Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,.,.,.,10,100,top quintile,.,.,.,20,90,second quintile,.,.,.,10,100,top quintile
10002370,EXETER COLLEGE,"Full Level 3+: Arts, Media and Publishing",.,.,.,20,89,fourth quintile,x,x,x,20,87,fourth quintile,.,.,.,20,81,third quintile
10002370,EXETER COLLEGE,"Full Level 3+: Business, Administration and Law",x,x,x,20,90,third quintile,x,x,x,40,90,third quintile,x,x,x,100,94,top quintile
10002370,EXETER COLLEGE,Full Level 3+: Engineering and Manufacturing Technologies,.,.,.,10,100,top quintile,.,.,.,10,100,top quintile,.,.,.,10,100,top quintile
10002370,EXETER COLLEGE,Full Level 3+: Information and Communication Technology,.,.,.,x,x,x,.,.,.,x,x,x,.,.,.,10,90,top quintile
10002370,EXETER COLLEGE,Full Level 3+: Retail and Commercial Enterprise,.,.,.,10,79,fourth quintile,.,.,.,20,83,top quintile,x,x,x,10,77,fourth quintile
10002370,EXETER COLLEGE,Access to HE,x,x,x,100,96,top quintile,x,x,x,90,95,top quintile,x,x,x,80,94,top quintile
10002370,EXETER COLLEGE,"Intermediate Apprenticeships: Business, Administration and Law",x,x,x,70,100,top quintile,x,x,x,100,91,second quintile,x,x,x,90,92,fourth quintile
10002370,EXETER COLLEGE,"Intermediate Apprenticeships: Construction, Planning and the Built Environment",.,.,.,20,100,top quintile,.,.,.,20,79,bottom quintile,.,.,.,40,73,bottom quintile
10002370,EXETER COLLEGE,Intermediate Apprenticeships: Engineering and Manufacturing Technologies,x,x,x,60,97,fourth quintile,x,x,x,60,95,third quintile,.,.,.,40,98,top quintile
10002370,EXETER COLLEGE,"Intermediate Apprenticeships: Health, Public Services and Care",.,.,.,20,92,second quintile,.,.,.,30,100,top quintile,.,.,.,30,100,top quintile
10002370,EXETER COLLEGE,Intermediate Apprenticeships: Information and Communication Technology,x,x,x,20,95,fourth quintile,.,.,.,20,82,bottom quintile,.,.,.,x,x,x
10002370,EXETER COLLEGE,"Intermediate Apprenticeships: Leisure, Travel and Tourism",x,x,x,x,x,x,x,x,x,20,82,bottom quintile,x,x,x,20,70,bottom quintile
10002370,EXETER COLLEGE,Intermediate Apprenticeships: Retail and Commercial Enterprise,.,.,.,70,91,third quintile,.,.,.,40,85,bottom quintile,.,.,.,40,86,second quintile
10002370,EXETER COLLEGE,"Full Level 2: Business, Administration and Law",140,70,top quintile,30,94,top quintile,30,69,fourth quintile,50,85,second quintile,x,x,x,90,94,top quintile
10002370,EXETER COLLEGE,"Full Level 2: Health, Public Services and Care",.,.,.,60,87,bottom quintile,.,.,.,10,100,top quintile,.,.,.,20,94,top quintile
10002370,EXETER COLLEGE,Full Level 2: Information and Communication Technology,x,x,x,x,x,x,x,x,x,20,89,top quintile,x,x,x,x,x,x
10002370,EXETER COLLEGE,"Full Level 2: Languages, Literature and Culture",x,x,x,20,91,fourth quintile,x,x,x,30,83,second quintile,x,x,x,70,80,bottom quintile
10002370,EXETER COLLEGE,"Full Level 2: Leisure, Travel and Tourism",20,91,top quintile,140,88,third quintile,x,x,x,100,93,top quintile,.,.,.,.,.,.
10002370,EXETER COLLEGE,Full Level 2: Preparation for Life and Work,x,x,x,10,77,bottom quintile,x,x,x,x,x,x,.,.,.,.,.,.
10002370,EXETER COLLEGE,Full Level 2: Retail and Commercial Enterprise,x,x,x,20,100,top quintile,x,x,x,30,93,top quintile,x,x,x,20,84,top quintile
10002370,EXETER COLLEGE,Full Level 2: Science and Mathematics,x,x,x,80,94,top quintile,x,x,x,140,92,fourth quintile,x,x,x,110,87,third quintile
10002370,EXETER COLLEGE,Traineeships,.,.,.,x,x,x,.,.,.,x,x,x,.,.,.,20,83,top quintile
10002370,EXETER COLLEGE,English & Maths,20,82,top quintile,310,78,third quintile,x,x,x,100,86,top quintile,.,.,.,90,69,bottom quintile
10002370,EXETER COLLEGE,English for Speakers of Other Languages (ESOL),20,60,fourth quintile,380,74,fourth quintile,x,x,x,280,76,top quintile,x,x,x,70,69,fourth quintile
10002370,EXETER COLLEGE,Other provision below Full Level 2,60,61,top quintile,230,87,top quintile,50,60,top quintile,440,85,top quintile,x,x,x,420,82,top quintile
10024771,EXETER ROYAL ACADEMY FOR DEAF EDUCATION,LLDD learner,.,.,.,30,50,bottom quintile,.,.,.,x,x,x,.,.,.,10,60,second quintile
10003231,EXG LIMITED,LLDD learner,630,42,second quintile,360,45,bottom quintile,1020,37,bottom quintile,370,31,bottom quintile,570,38,bottom quintile,200,36,bottom quintile
10003231,EXG LIMITED,"Advanced and Higher Apprenticeships: Health, Public Services and Care",x,x,x,20,71,bottom quintile,.,.,.,.,.,.,.,.,.,x,x,x
10003231,EXG LIMITED,"Intermediate Apprenticeships: Health, Public Services and Care",x,x,x,10,90,bottom quintile,.,.,.,.,.,.,.,.,.,.,.,.
10003231,EXG LIMITED,Full Level 2: Information and Communication Technology,470,67,top quintile,120,72,bottom quintile,440,49,bottom quintile,20,41,bottom quintile,280,49,bottom quintile,30,44,bottom quintile
10003231,EXG LIMITED,English & Maths,200,65,top quintile,380,76,second quintile,130,38,bottom quintile,x,x,x,110,37,bottom quintile,30,42,bottom quintile
10003231,EXG LIMITED,Other provision below Full Level 2,930,49,second quintile,130,52,bottom quintile,1490,42,bottom quintile,100,36,bottom quintile,690,42,bottom quintile,40,40,bottom quintile
10002375,EXPEDIENT TRAINING SERVICES LIMITED,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,.,.,.,.,.,.,20,100,top quintile,.,.,.,x,x,x
10002375,EXPEDIENT TRAINING SERVICES LIMITED,Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,x,x,x,.,.,.,20,82,bottom quintile,.,.,.,20,71,bottom quintile
10002375,EXPEDIENT TRAINING SERVICES LIMITED,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,70,95,fourth quintile,x,x,x,120,91,second quintile,.,.,.,x,x,x
