UKPRN,Provider Name,Learner Category,Completions 13/14 BL,Sustained Positive Destination Rate 13/14 BL,Quintile 13/14 BL,Completions 13/14 All,Sustained Positive Destination Rate 13/14 All,Quintile 13/14 All,Completions 14/15 BL,Sustained Positive Destination Rate 14/15 BL,Quintile 14/15 BL,Completions 14/15 All,Sustained Positive Destination Rate 14/15 All,Quintile 14/15 All,Completions 15/16 BL,Sustained Positive Destination Rate 15/16 BL,Quintile 15/16 BL,Completions 15/16 All,Sustained Positive Destination Rate 15/16 All,Quintile 15/16 All
10000055,ABINGDON AND WITNEY COLLEGE,Full Level 3+: Retail and Commercial Enterprise,x,x,x,10,73,second quintile,x,x,x,10,79,fourth quintile,x,x,x,10,60,bottom quintile
10000055,ABINGDON AND WITNEY COLLEGE,Access to HE,x,x,x,30,84,bottom quintile,x,x,x,40,89,second quintile,x,x,x,30,97,top quintile
10000055,ABINGDON AND WITNEY COLLEGE,Other Level 3,.,.,.,60,91,third quintile,.,.,.,x,x,x,.,.,.,x,x,x
10000055,ABINGDON AND WITNEY COLLEGE,"Intermediate Apprenticeships: Business, Administration and Law",.,.,.,20,95,top quintile,.,.,.,30,93,third quintile,.,.,.,40,93,fourth quintile
10000055,ABINGDON AND WITNEY COLLEGE,Intermediate Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,x,x,x,.,.,.,10,100,top quintile,.,.,.,.,.,.
10000055,ABINGDON AND WITNEY COLLEGE,"Intermediate Apprenticeships: Health, Public Services and Care",.,.,.,x,x,x,.,.,.,.,.,.,.,.,.,20,80,bottom quintile
10000055,ABINGDON AND WITNEY COLLEGE,"Full Level 2: Agriculture, Horticulture and Animal Care",x,x,x,40,85,third quintile,x,x,x,50,83,third quintile,x,x,x,70,90,top quintile
10000055,ABINGDON AND WITNEY COLLEGE,"Full Level 2: Business, Administration and Law",10,80,top quintile,100,94,top quintile,.,.,.,40,91,fourth quintile,.,.,.,60,92,fourth quintile
10000055,ABINGDON AND WITNEY COLLEGE,Full Level 2: Engineering and Manufacturing Technologies,.,.,.,50,100,top quintile,.,.,.,30,64,bottom quintile,.,.,.,10,92,top quintile
10000055,ABINGDON AND WITNEY COLLEGE,"Full Level 2: Health, Public Services and Care",.,.,.,20,76,bottom quintile,.,.,.,10,86,bottom quintile,x,x,x,60,90,third quintile
10000055,ABINGDON AND WITNEY COLLEGE,"Full Level 2: Languages, Literature and Culture",x,x,x,10,100,top quintile,x,x,x,20,100,top quintile,x,x,x,70,87,third quintile
10000055,ABINGDON AND WITNEY COLLEGE,"Full Level 2: Leisure, Travel and Tourism",.,.,.,x,x,x,x,x,x,30,93,top quintile,.,.,.,30,92,top quintile
10000055,ABINGDON AND WITNEY COLLEGE,Full Level 2: Retail and Commercial Enterprise,x,x,x,60,90,top quintile,x,x,x,20,94,top quintile,x,x,x,20,87,top quintile
10000055,ABINGDON AND WITNEY COLLEGE,Full Level 2: Science and Mathematics,x,x,x,30,92,fourth quintile,.,.,.,50,94,top quintile,x,x,x,110,92,fourth quintile
10000055,ABINGDON AND WITNEY COLLEGE,English & Maths,70,59,fourth quintile,240,76,third quintile,x,x,x,80,93,top quintile,10,60,fourth quintile,490,71,second quintile
10000055,ABINGDON AND WITNEY COLLEGE,English for Speakers of Other Languages (ESOL),x,x,x,110,62,second quintile,.,.,.,.,.,.,.,.,.,20,85,top quintile
